title,dept,salary,race,gender,experience,experience_level
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Asian,Male,23,Veteran
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,7,Novice
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,9,Experienced
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Male,1,Novice
ADMINISTRATIVE COORDINATOR,Health & Human Services,65589.0,Hispanic,Female,7,Novice
POLICE OFFICER,Houston Police Department-HPD,43443.0,White,Male,1,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,35,Veteran
EVIDENCE TECHNICIAN,Houston Police Department-HPD,33322.0,Hispanic,Female,1,Novice
DWI TECHNICIAN,Houston Police Department-HPD,47008.0,Hispanic,Female,21,Veteran
INSPECTOR,Houston Fire Department (HFD),70181.0,Black,Male,22,Veteran
SENIOR POLICE SERVICE OFFICER,Houston Police Department-HPD,32490.0,Black,Female,27,Veteran
RECREATION SUPERVISOR,Parks & Recreation,37565.0,White,Male,4,Novice
POLICE LIEUTENANT,Houston Police Department-HPD,86534.0,White,Male,16,Experienced
ADMINISTRATION MANAGER,Health & Human Services,82915.0,Black,Female,14,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,26,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,7,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Black,Male,14,Experienced
UTILITY WORKER,Public Works & Engineering-PWE,40518.0,Hispanic,Male,21,Veteran
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Male,1,Novice
ENVIRONMENTAL INVESTIGATOR V,Public Works & Engineering-PWE,79953.0,Asian,Male,28,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,33,Veteran
INSPECTOR,Public Works & Engineering-PWE,46238.0,Hispanic,Male,8,Novice
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,26,Veteran
SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Health & Human Services,46384.0,Black,Female,25,Veteran
UTILITY MECHANIC,Public Works & Engineering-PWE,30597.0,Black,Male,4,Novice
DEPUTY DIRECTOR-AVIATION (EX LVL),Houston Airport System (HAS),186192.0,Black,Male,3,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,22,Veteran
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,28169.0,Asian,Male,1,Novice
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Hispanic,Male,2,Novice
DWI TECHNICIAN,Houston Police Department-HPD,43035.0,Hispanic,Female,3,Novice
SENIOR PLANT OPERATOR,Public Works & Engineering-PWE,46550.0,White,Male,23,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,14,Experienced
INVESTIGATOR,Houston Fire Department (HFD),70181.0,White,Male,37,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,25,Veteran
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Native American,Male,25,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,3,Novice
STAFF ANALYST,Public Works & Engineering-PWE,70565.0,White,Female,7,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,26,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,32,Veteran
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,9,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,16,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,32,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,18,Experienced
OFFICE SUPERVISOR,Houston Police Department-HPD,50378.0,Asian,Male,16,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,21,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,13,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,10,Experienced
UTILITY WORKER,Public Works & Engineering-PWE,30139.0,Hispanic,Male,2,Novice
ASSISTANT PUBLIC WORKS MAINTENANCE MANAG,Public Works & Engineering-PWE,66310.0,Black,Male,0,Novice
PROGRAMMER ANALYST IV,Houston Police Department-HPD,69661.0,White,Male,19,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,26,Veteran
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,36,Veteran
SENIOR CUSTOMER SERVICE CLERK,Health & Human Services,31782.0,Black,Female,9,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,17,Experienced
PUBLIC WORKS OPERATIONS MANAGER,Public Works & Engineering-PWE,86288.0,White,Male,25,Veteran
ENGINEER,Public Works & Engineering-PWE,87236.0,Asian,Male,23,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,30,Veteran
GROUND TRANSPORTATION REPRESENTATIVE,Houston Airport System (HAS),29640.0,Hispanic,Female,25,Veteran
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,4,Novice
DEPUTY ASSISTANT DIRECTOR (EXECUTIVE LEV,Public Works & Engineering-PWE,105354.0,White,Male,6,Novice
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),47237.0,Black,Male,32,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,23,Veteran
SENIOR IMAGING TECHNICIAN,Houston Police Department-HPD,34528.0,Black,Female,37,Veteran
RECREATION FACILITY MANAGER,Parks & Recreation,50028.0,Black,Male,18,Experienced
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),48568.0,Black,Male,12,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,22,Veteran
DATA ENTRY OPERATOR,Houston Police Department-HPD,26125.0,Black,Female,23,Veteran
UTILITY WORKER,Public Works & Engineering-PWE,34320.0,Black,Male,4,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,8,Novice
SUPERINTENDENT,Houston Airport System (HAS),62650.0,Black,Male,3,Novice
EQUIPMENT WORKER,Public Works & Engineering-PWE,32968.0,Black,Male,2,Novice
SYSTEMS SUPPORT ANALYST I,Public Works & Engineering-PWE,44096.0,Asian,Male,12,Experienced
INSPECTOR,Public Works & Engineering-PWE,54600.0,Hispanic,Male,9,Experienced
CUSTOMER SERVICE SUPERVISOR,Public Works & Engineering-PWE,45178.0,Hispanic,Female,13,Experienced
SENIOR PUBLIC HEALTH INVESTIGATOR,Health & Human Services,40976.0,Hispanic,Female,25,Veteran
FINANCIAL ANALYST IV,Health & Human Services,70762.0,Black,Female,18,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,7,Novice
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,White,Male,2,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,25,Veteran
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Female,9,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,24,Veteran
UTILITY WORKER,Public Works & Engineering-PWE,36213.0,Black,Male,12,Experienced
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Black,Male,17,Experienced
SYSTEMS SUPPORT ANALYST IV,Public Works & Engineering-PWE,71170.0,Black,Male,11,Experienced
SANITARIAN III,Health & Human Services,52624.0,Asian,Male,17,Experienced
EQUIPMENT WORKER,Public Works & Engineering-PWE,37211.0,White,Male,22,Veteran
ADMINISTRATIVE ASSOCIATE,Houston Police Department-HPD,37336.0,Black,Female,16,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,23,Veteran
OFFICE SERVICE MANAGER,Houston Police Department-HPD,60653.0,Black,Male,11,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Female,22,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Black,Male,2,Novice
ADMINISTRATIVE ASSISTANT,Health & Human Services,40144.0,Black,Female,2,Novice
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,White,Male,1,Novice
COMMUNICATIONS CAPTAIN,Houston Fire Department (HFD),70181.0,Hispanic,Male,19,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Male,16,Experienced
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,3,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Asian,Male,27,Veteran
ADMINISTRATIVE COORDINATOR,Public Works & Engineering-PWE,66449.0,Hispanic,Female,24,Veteran
SENIOR CAPTAIN,Houston Fire Department (HFD),74270.0,White,Male,14,Experienced
POLICE OFFICER,Houston Police Department-HPD,45279.0,Asian,Male,3,Novice
LABORER,Houston Airport System (HAS),27082.0,Black,Male,1,Novice
MANAGEMENT ANALYST II,Health & Human Services,47632.0,White,Male,1,Novice
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,White,Male,1,Novice
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,White,Female,26,Veteran
FIELD SUPERVISOR,Public Works & Engineering-PWE,42640.0,Black,Male,8,Novice
MANAGEMENT ANALYST IV,Public Works & Engineering-PWE,62426.0,Hispanic,Female,11,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,20,Veteran
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,26,Veteran
TECHNICAL HARDWARE ANALYST I,Public Works & Engineering-PWE,44429.0,Black,Male,11,Experienced
POLICE OFFICER,Houston Police Department-HPD,52514.0,Asian,Male,6,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,31,Veteran
HUMAN RESOURCES MANAGER,Public Works & Engineering-PWE,86763.0,Black,Female,36,Veteran
INSPECTOR,Public Works & Engineering-PWE,47382.0,Asian,Male,7,Novice
CUSTOMER SERVICE CLERK,Houston Police Department-HPD,31907.0,Black,Female,27,Veteran
COMMUNITY LIAISON,Health & Human Services,48027.0,Black,Female,24,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,13,Experienced
POLICE OFFICER,Houston Police Department-HPD,60347.0,Hispanic,Male,10,Experienced
PLANT OPERATOR SUPERVISOR,Public Works & Engineering-PWE,54995.0,Black,Male,21,Veteran
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,26,Veteran
SENIOR POLICE SERVICE OFFICER,Houston Police Department-HPD,30888.0,White,Male,11,Experienced
POLICE OFFICER,Houston Police Department-HPD,60347.0,Black,Male,7,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,Black,Male,20,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,3,Novice
JAIL MEDICAL SPECIALIST,Health & Human Services,46363.0,Hispanic,Male,3,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,24,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Hispanic,Male,9,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,25,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,31,Veteran
PUBLIC WORKS MAINTENANCE SECTION CHIEF,Public Works & Engineering-PWE,57470.0,Hispanic,Male,7,Novice
SUPERINTENDENT,Parks & Recreation,56014.0,Black,Male,16,Experienced
ADMINISTRATION MANAGER,Public Works & Engineering-PWE,77899.0,Black,Female,28,Veteran
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Black,Male,11,Experienced
DATA ENTRY OPERATOR,Houston Police Department-HPD,26125.0,Hispanic,Female,1,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,Black,Male,14,Experienced
WORD PROCESSOR,Houston Police Department-HPD,31845.0,Black,Female,25,Veteran
TECHNICAL HARDWARE ANALYST I,Public Works & Engineering-PWE,39666.0,Black,Male,3,Novice
SANITARIAN I,Health & Human Services,38709.0,Black,Male,4,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,38,Veteran
SPECIAL SERVICE REPRESENTATIVE,Houston Airport System (HAS),35256.0,White,Female,10,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,32,Veteran
EQUIPMENT WORKER,Public Works & Engineering-PWE,34632.0,White,Male,3,Novice
SENIOR UTILITY MECHANIC,Public Works & Engineering-PWE,37128.0,Black,Male,10,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,21,Veteran
ADMINISTRATIVE COORDINATOR,Health & Human Services,53832.0,Black,Male,2,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,7,Novice
SENIOR POLICE SERVICE OFFICER,Houston Police Department-HPD,30888.0,Black,Female,23,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,20,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,24,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,35,Veteran
AIRPORT OPERATIONS COORDINATOR,Houston Airport System (HAS),51501.0,White,Male,10,Experienced
MAINTENANCE MECHANIC I,Houston Airport System (HAS),31158.0,Hispanic,Male,26,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,18,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Asian,Male,15,Experienced
INFRASTRUCTURE ASSESSMENT TECHNICIAN II,Public Works & Engineering-PWE,41683.0,Hispanic,Male,23,Veteran
EQUIPMENT WORKER,Parks & Recreation,30347.0,Black,Male,7,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,25,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,27,Veteran
POLICE OFFICER,Houston Police Department-HPD,55453.0,White,Male,10,Experienced
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,White,Male,32,Veteran
ASSISTANT DIRECTOR (EXECUTIVE LEVEL),Health & Human Services,120799.0,White,Male,8,Novice
POLICE OFFICER,Houston Police Department-HPD,43443.0,Hispanic,Male,1,Novice
RECREATION SPECIALIST,Parks & Recreation,28766.0,Black,Male,1,Novice
DISTRICT CHIEF,Houston Fire Department (HFD),89590.0,White,Male,22,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Female,21,Veteran
SENIOR CAPTAIN,Houston Fire Department (HFD),74270.0,White,Male,16,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,Hispanic,Male,15,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,19,Veteran
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Female,10,Experienced
PARTY CHIEF,Public Works & Engineering-PWE,53435.0,Hispanic,Male,10,Experienced
COMMUNITY LIAISON,Health & Human Services,49379.0,Native American,Female,13,Experienced
ELECTRICIAN,Public Works & Engineering-PWE,48776.0,Hispanic,Male,23,Veteran
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,White,Male,18,Experienced
DISTRICT CHIEF,Houston Fire Department (HFD),89590.0,Hispanic,Male,20,Veteran
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,23,Veteran
ENGINEER,Public Works & Engineering-PWE,78076.0,White,Male,8,Novice
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,31,Veteran
ASSISTANT ARSON INVESTIGATOR,Houston Fire Department (HFD),89590.0,Hispanic,Male,22,Veteran
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,23,Veteran
INVENTORY MANAGEMENT SUPERVISOR,Public Works & Engineering-PWE,40186.0,Black,Male,22,Veteran
GRADUATE ENGINEER,Public Works & Engineering-PWE,69493.0,Hispanic,Male,11,Experienced
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,4,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,Hispanic,Male,13,Experienced
CUSTODIAN,Parks & Recreation,26125.0,Black,Female,2,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,10,Experienced
JAIL ATTENDANT,Houston Police Department-HPD,35318.0,Black,Female,8,Novice
FIELD SUPERVISOR,Public Works & Engineering-PWE,45989.0,Hispanic,Male,12,Experienced
ADMINISTRATION MANAGER,Public Works & Engineering-PWE,70115.0,Hispanic,Male,23,Veteran
STAFF ANALYST,Houston Police Department-HPD,74961.0,White,Female,7,Novice
SENIOR INSPECTOR,Public Works & Engineering-PWE,65853.0,Hispanic,Male,23,Veteran
ASSISTANT DIRECTOR-PUBLIC WORKS (EXECUTI,Public Works & Engineering-PWE,146141.0,White,Female,18,Experienced
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Female,9,Experienced
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,8,Novice
POLICE OFFICER,Houston Police Department-HPD,45279.0,Black,Male,3,Novice
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Hispanic,Male,2,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,9,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,27,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,12,Experienced
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Black,Male,0,Novice
STAFF ANALYST,Houston Airport System (HAS),80791.0,Black,Female,11,Experienced
PROJECT TECHNICIAN IV,Public Works & Engineering-PWE,50586.0,White,Male,2,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,20,Veteran
SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Health & Human Services,43909.0,Black,Female,10,Experienced
POLICE OFFICER,Houston Police Department-HPD,43443.0,Asian,Male,1,Novice
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Male,1,Novice
CUSTOMER SERVICE CLERK,Houston Police Department-HPD,27872.0,Black,Female,14,Experienced
PROJECT MANAGER,Houston Airport System (HAS),67671.0,Hispanic,Female,7,Novice
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,45490.0,Hispanic,Female,37,Veteran
SUPERVISING ENGINEER,Public Works & Engineering-PWE,102297.0,Asian,Male,8,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,23,Veteran
AIRPORT OPERATIONS ASSISTANT,Houston Airport System (HAS),37669.0,Black,Male,12,Experienced
POLICE OFFICER,Houston Police Department-HPD,47650.0,White,Female,3,Novice
AIRPORT SECURITY INVESTIGATOR,Houston Airport System (HAS),61589.0,White,Male,12,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,14,Experienced
FIRE FIGHTER TRAINEE,Houston Fire Department (HFD),28024.0,White,Male,1,Novice
SUPERVISING ENGINEER,Houston Airport System (HAS),103686.0,White,Male,2,Novice
FIRE FIGHTER TRAINEE,Houston Fire Department (HFD),28024.0,White,Male,0,Novice
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,Hispanic,Male,20,Veteran
POLICE OFFICER,Houston Police Department-HPD,60347.0,Asian,Male,14,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,30,Veteran
FIELD SUPERVISOR,Public Works & Engineering-PWE,49109.0,Black,Male,38,Veteran
SENIOR INSPECTOR,Public Works & Engineering-PWE,66560.0,White,Male,18,Experienced
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,42453.0,Hispanic,Female,19,Veteran
RECREATION SUPERVISOR,Parks & Recreation,35339.0,Black,Female,17,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,23,Veteran
BREASTFEEDING PEER COUNSELOR,Health & Human Services,28600.0,Hispanic,Female,1,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,23,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,12,Experienced
POLICE OFFICER,Houston Police Department-HPD,60347.0,Black,Male,18,Experienced
CAPTAIN,Houston Fire Department (HFD),70181.0,Hispanic,Male,23,Veteran
POLICE CAPTAIN,Houston Police Department-HPD,104455.0,White,Female,25,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,White,Male,15,Experienced
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,9,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,White,Male,4,Novice
LABORER,Houston Airport System (HAS),26125.0,Hispanic,Female,11,Experienced
COUNSELOR,Health & Human Services,47382.0,Black,Female,2,Novice
ADMINISTRATIVE ASSISTANT,Houston Police Department-HPD,47278.0,Black,Female,23,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Black,Male,2,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,35,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,12,Experienced
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,9,Experienced
CUSTOMER SERVICE REPRESENTATIVE II,Houston Fire Department (HFD),34902.0,Black,Female,27,Veteran
SEMI-SKILLED LABORER,Houston Airport System (HAS),33467.0,Black,Female,18,Experienced
POLICE OFFICER,Houston Police Department-HPD,52514.0,Asian,Male,6,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Male,9,Experienced
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,9,Experienced
SENIOR BUYER,Public Works & Engineering-PWE,47008.0,Hispanic,Female,10,Experienced
LABORATORY SUPERVISOR,Public Works & Engineering-PWE,74097.0,Asian,Male,28,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,2,Novice
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Black,Male,9,Experienced
ADMINISTRATIVE SPECIALIST,Public Works & Engineering-PWE,43888.0,White,Female,1,Novice
POLICE OFFICER,Houston Police Department-HPD,45279.0,White,Male,3,Novice
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Male,1,Novice
REAL ESTATE MANAGER,Public Works & Engineering-PWE,97626.0,White,Male,22,Veteran
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,White,Male,1,Novice
FIELD SUPERVISOR,Parks & Recreation,36920.0,White,Male,18,Experienced
ADMINISTRATIVE ASSISTANT,Houston Police Department-HPD,41704.0,Black,Female,24,Veteran
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,White,Male,23,Veteran
ADMINISTRATIVE SPECIALIST,Public Works & Engineering-PWE,57842.0,White,Female,34,Veteran
AIRPORT SUPERVISOR,Houston Airport System (HAS),45698.0,Black,Male,12,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,Black,Male,12,Experienced
POLICE OFFICER,Houston Police Department-HPD,45279.0,White,Female,3,Novice
ENGINEER,Public Works & Engineering-PWE,71680.0,Black,Female,8,Novice
ACCOUNTANT ASSOCIATE,Public Works & Engineering-PWE,35027.0,White,Female,26,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,31,Veteran
IRM MANAGER,Public Works & Engineering-PWE,124861.0,Asian,Male,17,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,34,Veteran
CUSTOMER SERVICE REPRESENTATIVE II,Houston Fire Department (HFD),36400.0,Black,Female,3,Novice
TECHNICAL HARDWARE ANALYST II,Public Works & Engineering-PWE,49587.0,Black,Male,11,Experienced
SENIOR CUSTOMER SERVICE CLERK,Health & Human Services,33654.0,Hispanic,Male,1,Novice
JAIL ATTENDANT,Houston Police Department-HPD,35318.0,Hispanic,Female,1,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,18,Experienced
SENIOR UTILITY MECHANIC,Public Works & Engineering-PWE,38688.0,Black,Male,10,Experienced
SENIOR REAL ESTATE ANALYST,Public Works & Engineering-PWE,76085.0,White,Female,1,Novice
UTILITY WORKER,Public Works & Engineering-PWE,32864.0,Hispanic,Male,8,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,19,Veteran
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,12,Experienced
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,10,Experienced
COMMUNICATIONS SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,Black,Female,23,Veteran
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Male,1,Novice
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Female,10,Experienced
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,White,Male,36,Veteran
ADMINISTRATIVE ASSOCIATE,Houston Police Department-HPD,30618.0,Black,Male,0,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,Black,Male,26,Veteran
CUSTOMER SERVICE CASHIER,Public Works & Engineering-PWE,30493.0,Hispanic,Female,1,Novice
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Male,4,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Asian,Male,25,Veteran
PUBLIC WORKS MAINTENANCE MANAGER,Public Works & Engineering-PWE,92028.0,Black,Female,3,Novice
TECHNICAL HARDWARE ANALYST I,Public Works & Engineering-PWE,44429.0,Black,Male,20,Veteran
SUPERINTENDENT,Parks & Recreation,72280.0,Hispanic,Male,22,Veteran
UTILITY WORKER,Public Works & Engineering-PWE,40227.0,Black,Male,23,Veteran
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,33,Veteran
PLANT OPERATOR,Public Works & Engineering-PWE,39478.0,White,Male,11,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Black,Male,12,Experienced
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Asian,Male,1,Novice
FINANCIAL ANALYST IV,Public Works & Engineering-PWE,80433.0,Asian,Female,11,Experienced
SENIOR POLICE TELECOMMUNICATOR,Houston Police Department-HPD,52333.0,Black,Female,26,Veteran
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,21,Veteran
SURVEILLANCE INVESTIGATOR EPIDEMIOLOGY,Health & Human Services,41870.0,Black,Male,3,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,12,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,23,Veteran
SENIOR HUMAN RESOURCES SPECIALIST,Houston Police Department-HPD,55378.0,Asian,Female,30,Veteran
EQUIPMENT WORKER,Public Works & Engineering-PWE,30347.0,Black,Female,0,Novice
LABORER,Houston Airport System (HAS),26125.0,Black,Female,9,Experienced
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,8,Novice
STAFF ANALYST,Public Works & Engineering-PWE,62400.0,White,Female,4,Novice
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Hispanic,Male,15,Experienced
SENIOR COMMUNITY LIAISON,Houston Police Department-HPD,65416.0,White,Male,9,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,8,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,Hispanic,Male,13,Experienced
UTILITY WORKER,Public Works & Engineering-PWE,31450.0,Black,Male,2,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Female,8,Novice
